                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.4529,                0.95549,                0.61044,                 1.0021,                 0.8415,                0.81226,                0.87031,                0.77319,                0.88469,                0.77863,                0.86202,                 0.7509,                0.54849,                 1.1872,                0.75864,                 1.0839,             0.00027415,             0.00027415,             0.00027415
                     67,                 0.4566,                0.97202,                0.61217,                 1.0024,                0.87876,                0.77918,                0.86346,                0.76369,                0.87614,                0.77239,                0.85378,                0.74492,                0.55147,                 1.2285,                0.78393,                 1.0905,             0.00026654,             0.00026654,             0.00026654
                     68,                0.44583,                0.92493,                0.59901,                0.99597,                0.86333,                 0.8045,                0.87813,                  0.775,                0.85838,                0.80027,                0.86791,                0.75988,                0.56102,                 1.2227,                 0.7246,                 1.0943,             0.00025892,             0.00025892,             0.00025892
                     69,                 0.4496,                0.93288,                0.59255,                0.99903,                0.83158,                0.82882,                0.87169,                0.77459,                0.82963,                 0.8279,                0.86585,                0.75474,                0.53157,                 1.2127,                0.74694,                 1.0689,             0.00025131,             0.00025131,             0.00025131
                     70,                0.44441,                0.93019,                0.59887,                0.99626,                0.82838,                0.78154,                0.86372,                0.76951,                0.83101,                 0.7859,                0.85993,                0.74931,                0.53737,                 1.2034,                0.76143,                 1.0694,              0.0002437,              0.0002437,              0.0002437
                     71,                0.44595,                0.93448,                0.59088,                0.99492,                0.87172,                0.79946,                0.87237,                0.76777,                0.86861,                0.79645,                0.86572,                0.75491,                0.55026,                  1.216,                0.74262,                 1.0818,             0.00023608,             0.00023608,             0.00023608
                     72,                 0.4393,                0.92974,                0.56662,                0.99102,                0.88325,                0.78953,                0.86416,                0.76324,                 0.8804,                0.78571,                 0.8553,                0.74651,                0.54144,                  1.216,                0.76101,                 1.0809,             0.00022847,             0.00022847,             0.00022847
                     73,                0.44119,                0.93921,                0.57631,                0.99377,                 0.8374,                0.81164,                0.86433,                 0.7695,                0.83805,                0.80831,                0.85501,                0.75168,                0.54059,                 1.2342,                0.76561,                 1.0811,             0.00022086,             0.00022086,             0.00022086
                     74,                0.42649,                0.89808,                0.55371,                 0.9824,                0.85141,                0.78952,                0.86473,                0.77197,                0.85008,                0.78844,                0.85674,                0.75537,                0.53329,                 1.2404,                0.74244,                 1.0713,             0.00021324,             0.00021324,             0.00021324
                     75,                 0.4412,                0.92171,                0.56242,                0.99147,                 0.8285,                0.81421,                0.86624,                0.76808,                0.84497,                0.79674,                0.86143,                0.75596,                0.53601,                 1.2066,                0.73047,                 1.0762,             0.00020563,             0.00020563,             0.00020563
                     76,                0.42513,                0.89101,                0.55707,                0.98497,                0.86097,                0.80979,                0.87425,                0.77863,                0.86746,                  0.805,                0.86798,                0.76711,                0.53242,                 1.2049,                0.73199,                 1.0697,             0.00019802,             0.00019802,             0.00019802
                     77,                0.43599,                0.89204,                0.55977,                0.98564,                 0.8503,                0.80306,                0.86687,                0.77338,                0.84762,                0.79918,                0.86012,                0.75583,                0.53374,                 1.2254,                 0.7253,                 1.0712,              0.0001904,              0.0001904,              0.0001904
                     78,                0.42659,                0.87836,                0.53994,                0.98207,                0.85153,                0.81473,                0.86613,                0.77788,                0.84869,                0.81129,                0.86141,                0.76081,                0.51406,                 1.2126,                0.71376,                 1.0504,             0.00018279,             0.00018279,             0.00018279
                     79,                 0.4272,                  0.902,                0.54092,                0.98149,                0.85437,                0.81493,                0.86061,                0.76856,                0.85643,                0.80897,                0.85402,                0.74752,                0.52824,                 1.2134,                0.72972,                 1.0694,             0.00017518,             0.00017518,             0.00017518
                     80,                0.43043,                0.91741,                0.54226,                0.98291,                0.83914,                0.81967,                0.86036,                0.76821,                0.83835,                 0.8125,                0.85013,                 0.7461,                0.52002,                 1.2074,                0.75303,                 1.0616,             0.00016757,             0.00016757,             0.00016757
                     81,                0.43086,                0.89459,                0.54113,                0.98415,                0.85286,                0.82157,                0.86931,                0.77761,                0.85123,                0.81925,                0.86123,                0.75651,                0.51911,                 1.2494,                0.70763,                  1.058,             0.00015995,             0.00015995,             0.00015995
                     82,                0.42377,                0.89213,                0.53135,                0.97877,                0.85601,                0.79913,                0.85518,                 0.7646,                0.85341,                 0.7953,                0.84886,                 0.7438,                0.52665,                 1.2227,                0.74376,                 1.0684,             0.00015234,             0.00015234,             0.00015234
                     83,                0.41589,                0.85203,                0.52395,                0.97267,                0.85307,                0.80234,                0.85798,                0.77525,                0.84794,                0.79747,                0.84974,                0.75543,                0.52261,                 1.2307,                0.76015,                 1.0646,             0.00014473,             0.00014473,             0.00014473
                     84,                 0.4159,                0.87482,                0.52448,                0.97575,                0.83261,                0.81265,                0.85851,                0.77375,                0.82981,                0.80859,                0.85152,                0.75349,                0.51188,                 1.2146,                0.72251,                 1.0504,             0.00013711,             0.00013711,             0.00013711
                     85,                0.41507,                 0.8764,                0.52567,                0.97581,                 0.8461,                0.81803,                0.86422,                0.77444,                0.84041,                0.81318,                0.85588,                 0.7542,                0.51555,                 1.1983,                 0.7426,                 1.0518,              0.0001295,              0.0001295,              0.0001295
                     86,                0.41596,                0.87161,                0.51638,                0.97943,                0.86717,                0.79915,                0.85496,                0.76579,                0.86324,                0.79032,                0.84783,                0.74699,                0.52597,                 1.2128,                0.74505,                 1.0633,             0.00012189,             0.00012189,             0.00012189
                     87,                0.42153,                0.86558,                0.51599,                0.97835,                0.89091,                0.79249,                0.86002,                0.76759,                0.88507,                0.78766,                0.85001,                0.75035,                0.52394,                 1.2095,                0.72834,                 1.0652,             0.00011427,             0.00011427,             0.00011427
                     88,                 0.4153,                0.86443,                0.51181,                0.97571,                0.86999,                0.80408,                0.85878,                0.76897,                0.90478,                0.77185,                0.85109,                0.75009,                0.51722,                 1.2031,                0.71333,                 1.0569,             0.00010666,             0.00010666,             0.00010666
                     89,                0.41567,                0.85549,                0.51343,                0.97441,                0.85785,                0.79923,                 0.8569,                0.76619,                0.86024,                0.79279,                0.84778,                0.74794,                 0.5248,                  1.202,                0.75015,                 1.0656,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.39837,                0.83251,                0.49104,                0.96426,                 0.8526,                0.79949,                0.86293,                0.77276,                0.86552,                0.78565,                0.85432,                0.74946,                0.52188,                  1.198,                  0.735,                 1.0603,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.38325,                0.79181,                 0.4645,                0.99913,                0.87826,                0.78599,                0.86577,                0.77844,                0.87306,                0.78201,                0.85544,                0.75672,                0.52322,                 1.1971,                0.73089,                 1.0637,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.36928,                0.79395,                0.43379,                0.98045,                0.87344,                0.78874,                0.86686,                0.78204,                0.87098,                0.78575,                0.85718,                0.75866,                0.51631,                 1.1902,                0.72781,                 1.0609,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.36841,                0.76192,                 0.4218,                0.98269,                0.88343,                0.77392,                0.86256,                0.77816,                0.87997,                0.77184,                0.85307,                0.75774,                0.50738,                  1.201,                0.72229,                 1.0562,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.36696,                0.77104,                0.42448,                0.98549,                 0.8563,                0.81964,                0.87129,                0.79023,                0.84651,                0.81435,                0.86131,                0.76517,                0.50737,                 1.2016,                0.71668,                 1.0527,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.36318,                0.76501,                0.41346,                0.98178,                0.88503,                0.79278,                0.87143,                0.78332,                0.88179,                0.78813,                0.86225,                0.76345,                0.50756,                 1.1999,                0.71447,                 1.0488,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.35581,                0.74703,                  0.402,                0.96562,                0.86815,                0.80468,                0.87181,                0.78676,                0.86208,                0.80033,                0.86231,                0.76501,                0.50592,                 1.1937,                 0.6943,                  1.049,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.35614,                 0.7346,                0.40526,                0.97214,                0.86299,                0.80477,                0.87089,                0.78808,                0.85644,                0.79615,                 0.8585,                0.76294,                0.50758,                 1.2012,                0.70584,                  1.051,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.35546,                0.74711,                0.39261,                0.97319,                0.86445,                0.81006,                0.87303,                0.79217,                0.85821,                0.80511,                0.86469,                0.76964,                0.51218,                 1.1937,                0.68684,                 1.0547,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.35085,                0.72585,                0.38886,                0.96165,                0.85715,                0.82571,                0.87619,                 0.7931,                0.85194,                0.82118,                 0.8669,                0.77089,                0.51224,                 1.2069,                0.68205,                 1.0557,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.34313,                0.72009,                0.38617,                0.96315,                0.85531,                0.82112,                0.87537,                0.79472,                0.84903,                0.81536,                0.86565,                0.77051,                0.50941,                  1.198,                0.68553,                 1.0518,             1.5303e-05,             1.5303e-05,             1.5303e-05
